Codice articolo (ATS),Material SAP Code (BP),Definire Conti Co.Ge. per,Gruppo articoli,Descrizione articolo,part number,Model Id,SUBCLASS,Technology,Produttore,Gestire n. lotto [Si/No],Gestione numeri di serie,verifica su sap
WMS0002647-NTD,000000000301630389,Gruppo articoli,WMS-VodafoneNTD,"86010148V01, Kathrien Ret Control Unit",86010148V01,86010148V01,Unit,RADIO,KATHREIN,No,No,OK
WMS0002648-NTD,000000000301630762,Gruppo articoli,WMS-VodafoneNTD,"AGS20 Quad-IF (4xIF,4xGE,2x10GE)",GAI0219-1,AGS20 GAI0219-1,Unit,MW,SIAE,No,Si,OK
WMS0002649-NTD,000000000301630765,Gruppo articoli,WMS-VodafoneNTD,TRANS.OPT. 1310NM 10GB(FIBRA MONO MOD.),10G-SFP-SM,10G-SFP-SM,Modulo SFP-XPF,MW,SIAE,No,No,OK
WMS0002650-NTD,000000000301630766,Gruppo articoli,WMS-VodafoneNTD,"AGS20XG Quad-IF (4xIF,4xGE,2x10GE)",GAI0233,AGS-20 GAI0233,Unit,MW,SIAE,No,Si,OK
WMS0002651-NTD,000000000301630828,Gruppo articoli,WMS-VodafoneNTD,78211561 TBC 380-960/1427-1880/1920-2690,78211561,78211561,Unit,RADIO,KATHREIN,No,No,OK
WMS0002652-NTD,000000000301630848,Gruppo articoli,WMS-VodafoneNTD,78211531 DBC 1427-1511/1710-2690 D P1/P,78211531,78211531,Unit,RADIO,KATHREIN,No,No,OK
WMS0002653-NTD,000000000301630855,Gruppo articoli,WMS-VodafoneNTD,78211463 DBC 380-960 / 1427-3800 D S1/P,78211463,78211463,Unit,RADIO,KATHREIN,No,No,OK
WMS0002654-NTD,000000000301630874,Gruppo articoli,WMS-VodafoneNTD,78210975V43 DBC 790-862 / 880-960 D P1/,78210975,78210975,Unit,RADIO,KATHREIN,No,No,OK
WMS0002655-NTD,000000000301630892,Gruppo articoli,WMS-VodafoneNTD,78210624V43 DBC 1710-1880 / 1920-2200 S,78210624V43,78210624V43,Unit,RADIO,KATHREIN,No,Si,OK
WMS0002656-NTD,000000000301630900,Gruppo articoli,WMS-VodafoneNTD,78210512V44 DTMA-800-900-12-AISG,78210512V44,78210512V44,Unit,RADIO,KATHREIN,No,Si,OK
WMS0002657-NTD,000000000301630904,Gruppo articoli,WMS-VodafoneNTD,85010110 XM Downtilt,85010110,85010110,Accessori,RADIO,KATHREIN,Si,No,OK
WMS0002658-NTD,000000000301630909,Gruppo articoli,WMS-VodafoneNTD,86010163 Port Extender for FlexRET 86010,86010163,86010163,Unit,RADIO,KATHREIN,No,No,OK
WMS0002659-NTD,000000000301630943,Gruppo articoli,WMS-VodafoneNTD,78211798 Dual-band Combiner 1350-2200/23,78211798,78211798,Unit,RADIO,KATHREIN,No,No,OK
WMS0002660-NTD,000000000301630946,Gruppo articoli,WMS-VodafoneNTD,78211792 DBC 1427-2200 / 2300-2690 S S1,78211792,78211792,Unit,RADIO,KATHREIN,No,No,OK
WMS0002661-NTD,000000000301630948,Gruppo articoli,WMS-VodafoneNTD,78211790 DBC 1427-2200 / 2300-2690 S P1,78211790,78211790,Unit,RADIO,KATHREIN,No,No,OK
WMS0002662-NTD,000000000301630951,Gruppo articoli,WMS-VodafoneNTD,"78211763 50-Ohm Load, 690-5800 MHz, 50 W",78211763,78211763,Unit,RADIO,KATHREIN,No,No,OK
WMS0002663-NTD,000000000301630958,Gruppo articoli,WMS-VodafoneNTD,78211696 TBC1427-1880/1920-2360/2496-269,78211696,78211696,Unit,RADIO,KATHREIN,No,No,OK
WMS0002664-NTD,000000000301630961,Gruppo articoli,WMS-VodafoneNTD,78211628 DBC 1427-1880 / 1920-2690 D AS,78211628,78211628,Unit,RADIO,KATHREIN,No,No,OK
WMS0002665-NTD,000000000301630969,Gruppo articoli,WMS-VodafoneNTD,78211621 DBC 1427-1880 / 1920-2690 D P1,78211621,78211621,Unit,RADIO,KATHREIN,No,No,OK
WMS0002666-NTD,000000000301631056,Gruppo articoli,WMS-VodafoneNTD,78210979V43 DBC 790-862 / 880-960 D Cro,78210979V43,78210979V43,Unit,RADIO,KATHREIN,No,Si,OK
WMS0002667-NTD,000000000301631065,Gruppo articoli,WMS-VodafoneNTD,78211106V45 DTMA-1800-UMTS-12-AISG WBM,78211106V45,78211106V45,Unit,RADIO,KATHREIN,No,Si,OK
WMS0002668-NTD,000000000301631112,Gruppo articoli,WMS-VodafoneNTD,78211438V43 DBC 694-862 / 880-960 D ASf,78211438V43,78211438V43,Unit,RADIO,KATHREIN,No,No,OK
WMS0002669-NTD,000000000301631141,Gruppo articoli,WMS-VodafoneNTD,ISAM NVLT-R/S 72p VDSL line card,3FE65820AA,NVLT-R,Unit,DSL,NSN,No,Si,OK
WMS0002670-NTD,000000000301631250,Gruppo articoli,WMS-VodafoneNTD,SPARE-FRHG,473225A.102,FRHG,Unit,RADIO,NSN,No,Si,OK
WMS0002671-NTD,000000000301631254,Gruppo articoli,WMS-VodafoneNTD,FSEE FLEXI SYSTEM EXTERNAL ALARM,473751A.101,FSEE,Unit,RADIO,NSN,No,No,OK
WMS0002672-NTD,000000000301631256,Gruppo articoli,WMS-VodafoneNTD,AMFK Cable glands for AMOB,474421A.101,AMFK,Accessori,RADIO,NSN,Si,No,OK
WMS0002673-NTD,000000000301631258,Gruppo articoli,WMS-VodafoneNTD,SPR_FPFH Flexi Power Distribution Module,CS7136001,FPFH,Unit,RADIO,NSN,No,No,OK
WMS0002674-NTD,000000000301631260,Gruppo articoli,WMS-VodafoneNTD,SPARE-AMOB,473952A.101,AMOB,Unit,RADIO,NSN,No,Si,OK
WMS0002675-NTD,000000000301631263,Gruppo articoli,WMS-VodafoneNTD,SPARE-AMIA AirScale Subrack,473098A.101,AMIA,Unit,RADIO,NSN,No,Si,OK
WMS0002676-NTD,000000000301631265,Gruppo articoli,WMS-VodafoneNTD,SPARE-FBBC,472797A.101,FBBC,Unit,RADIO,NSN,No,Si,OK
WMS0002677-NTD,000000000301631266,Gruppo articoli,WMS-VodafoneNTD,SPARE-FUFBB MM OD fiber LC-LC OD dual 50,473304A.101,FUFBB,Accessori,RADIO,NSN,Si,No,OK
WMS0002678-NTD,000000000301631268,Gruppo articoli,WMS-VodafoneNTD,AMIA AirScale Subrack,473098A.101,AMIA,Unit,RADIO,NSN,No,Si,OK
WMS0002679-NTD,000000000301631272,Gruppo articoli,WMS-VodafoneNTD,AMFF Blind panel Assy for AMOB,474416A.101,AMFF,Accessori,RADIO,NSN,Si,No,OK
