Codice articolo (ATS),Material SAP Code (BP),Definire Conti Co.Ge. per,Gruppo articoli,Descrizione articolo,part number,Model Id,SUBCLASS,Technology,Produttore,Gestire n. lotto [Si/No],Gestione numeri di serie,verifica su sap
WMS0000527-FPX,WMS0000527-FPX,Gruppo articoli,WMS-Flex Packaging,3954-BS3-TOPLLLARDG2.,3954-BS3-TOPLLLARDG2.,,,,,No,Sì,OK
WMS0000528-FPX,WMS0000528-FPX,Gruppo articoli,WMS-Flex Packaging,3954-BS3-TOPLLLARDG26,3954-BS3-TOPLLLARDG26,,,,,No,Sì,OK
WMS0000529-FPX,WMS0000529-FPX,Gruppo articoli,WMS-Flex Packaging,3954-BS3-TOPLLLCLDG2.,3954-BS3-TOPLLLCLDG2.,,,,,No,Sì,OK
WMS0000530-FPX,WMS0000530-FPX,Gruppo articoli,WMS-Flex Packaging,3954-BS3-TOPLLLCLDG21,3954-BS3-TOPLLLCLDG21,,,,,No,Sì,OK
WMS0000531-FPX,WMS0000531-FPX,Gruppo articoli,WMS-Flex Packaging,3954-BS3-TOPLLLNRDG2.,3954-BS3-TOPLLLNRDG2.,,,,,No,Sì,OK
WMS0000532-FPX,WMS0000532-FPX,Gruppo articoli,WMS-Flex Packaging,3954-BS3-TOPLLLNRDG21,3954-BS3-TOPLLLNRDG21,,,,,No,Sì,OK
WMS0000533-FPX,WMS0000533-FPX,Gruppo articoli,WMS-Flex Packaging,3954-BS3-TOPNNMARDG26,3954-BS3-TOPNNMARDG26,,,,,No,Sì,OK
WMS0000534-FPX,WMS0000534-FPX,Gruppo articoli,WMS-Flex Packaging,3954-BS3-TOPNNMBNDG26,3954-BS3-TOPNNMBNDG26,,,,,No,Sì,OK
WMS0000535-FPX,WMS0000535-FPX,Gruppo articoli,WMS-Flex Packaging,3954-BS3-TOPNNMNRDG2.,3954-BS3-TOPNNMNRDG2.,,,,,No,Sì,OK
WMS0000536-FPX,WMS0000536-FPX,Gruppo articoli,WMS-Flex Packaging,3954-BS3-TOPNNMRSDG2.,3954-BS3-TOPNNMRSDG2.,,,,,No,Sì,OK
WMS0000537-FPX,WMS0000537-FPX,Gruppo articoli,WMS-Flex Packaging,3964-SSS-NTRPITSOTTOV,3964-SSS-NTRPITSOTTOV,,,,,No,Sì,OK
WMS0000538-FPX,WMS0000538-FPX,Gruppo articoli,WMS-Flex Packaging,4006-BS3-CPSGRC,4006-BS3-CPSGRC,,,,,No,Sì,OK
WMS0000539-FPX,WMS0000539-FPX,Gruppo articoli,WMS-Flex Packaging,4006-SSS-1KGGP,4006-SSS-1KGGP,,,,,No,Sì,OK
WMS0000540-FPX,WMS0000540-FPX,Gruppo articoli,WMS-Flex Packaging,4103-BS2-250GDOPCIUF2,4103-BS2-250GDOPCIUF2,,,,,No,Sì,OK
WMS0000541-FPX,WMS0000541-FPX,Gruppo articoli,WMS-Flex Packaging,4248-SSS-1KGTBBRM-1,4248-SSS-1KGTBBRM-1,,,,,No,Sì,OK
WMS0000542-FPX,WMS0000542-FPX,Gruppo articoli,WMS-Flex Packaging,4261-BS3-1KGMBS,4261-BS3-1KGMBS,,,,,No,Sì,OK
WMS0000543-FPX,WMS0000543-FPX,Gruppo articoli,WMS-Flex Packaging,4486-BS2-250GESPOSIT1,4486-BS2-250GESPOSIT1,,,,,No,Sì,OK
WMS0000544-FPX,WMS0000544-FPX,Gruppo articoli,WMS-Flex Packaging,4634-BS3-CLDCER,4634-BS3-CLDCER,,,,,No,Sì,OK
WMS0000545-FPX,WMS0000545-FPX,Gruppo articoli,WMS-Flex Packaging,4642-BS3-CLDVULCBIAN2,4642-BS3-CLDVULCBIAN2,,,,,No,Sì,OK
WMS0000546-FPX,WMS0000546-FPX,Gruppo articoli,WMS-Flex Packaging,4674-BS3-CLDANIMANER,4674-BS3-CLDANIMANER,,,,,No,Sì,OK
WMS0000547-FPX,WMS0000547-FPX,Gruppo articoli,WMS-Flex Packaging,4688-BS3-TOPNTR430NP,4688-BS3-TOPNTR430NP,,,,,No,Sì,OK
WMS0000548-FPX,WMS0000548-FPX,Gruppo articoli,WMS-Flex Packaging,4719-BS3-500GFASCIARS,4719-BS3-500GFASCIARS,,,,,No,Sì,OK
WMS0000549-FPX,WMS0000549-FPX,Gruppo articoli,WMS-Flex Packaging,4824-SSS-1KGCOFFEA,4824-SSS-1KGCOFFEA,,,,,No,Sì,OK
WMS0000550-FPX,WMS0000550-FPX,Gruppo articoli,WMS-Flex Packaging,4858-BS4-50GZANUT_2,4858-BS4-50GZANUT_2,,,,,No,Sì,OK
WMS0000551-FPX,WMS0000551-FPX,Gruppo articoli,WMS-Flex Packaging,4870-BS3-1KGESPRBL440,4870-BS3-1KGESPRBL440,,,,,No,Sì,OK
WMS0000552-FPX,WMS0000552-FPX,Gruppo articoli,WMS-Flex Packaging,4909-BS3-1KGCDF,4909-BS3-1KGCDF,,,,,No,Sì,OK
WMS0000553-FPX,WMS0000553-FPX,Gruppo articoli,WMS-Flex Packaging,4909-BS3-1KGLAN10,4909-BS3-1KGLAN10,,,,,No,Sì,OK
WMS0000554-FPX,WMS0000554-FPX,Gruppo articoli,WMS-Flex Packaging,4909-BS3-1KGLRN20,4909-BS3-1KGLRN20,,,,,No,Sì,OK
WMS0000555-FPX,WMS0000555-FPX,Gruppo articoli,WMS-Flex Packaging,4909-BS3-1KGORIGINI-1,4909-BS3-1KGORIGINI-1,,,,,No,Sì,OK
WMS0000556-FPX,WMS0000556-FPX,Gruppo articoli,WMS-Flex Packaging,4909-BS3-1KGTLV,4909-BS3-1KGTLV,,,,,No,Sì,OK
WMS0000557-FPX,WMS0000557-FPX,Gruppo articoli,WMS-Flex Packaging,4909-BS3-3KGLRN20,4909-BS3-3KGLRN20,,,,,No,Sì,OK
WMS0000558-FPX,WMS0000558-FPX,Gruppo articoli,WMS-Flex Packaging,4909-BS3-CLDA,4909-BS3-CLDA,,,,,No,Sì,OK
WMS0000559-FPX,WMS0000559-FPX,Gruppo articoli,WMS-Flex Packaging,4909-BS3-CLDBNP,4909-BS3-CLDBNP,,,,,No,Sì,OK
WMS0000560-FPX,WMS0000560-FPX,Gruppo articoli,WMS-Flex Packaging,4909-BS3-CLDC,4909-BS3-CLDC,,,,,No,Sì,OK
WMS0000561-FPX,WMS0000561-FPX,Gruppo articoli,WMS-Flex Packaging,4909-BS3-CLDCCICMC,4909-BS3-CLDCCICMC,,,,,No,Sì,OK
WMS0000562-FPX,WMS0000562-FPX,Gruppo articoli,WMS-Flex Packaging,4909-BS3-CLDCDRDC,4909-BS3-CLDCDRDC,,,,,No,Sì,OK
WMS0000563-FPX,WMS0000563-FPX,Gruppo articoli,WMS-Flex Packaging,4909-BS3-CLDCR,4909-BS3-CLDCR,,,,,No,Sì,OK
WMS0000564-FPX,WMS0000564-FPX,Gruppo articoli,WMS-Flex Packaging,4909-BS3-CLDD,4909-BS3-CLDD,,,,,No,Sì,OK
WMS0000565-FPX,WMS0000565-FPX,Gruppo articoli,WMS-Flex Packaging,4909-BS3-CLDFORTCRE-2,4909-BS3-CLDFORTCRE-2,,,,,No,Sì,OK
WMS0000566-FPX,WMS0000566-FPX,Gruppo articoli,WMS-Flex Packaging,4909-BS3-CLDFORTCRE-3,4909-BS3-CLDFORTCRE-3,,,,,No,Sì,OK
WMS0000567-FPX,WMS0000567-FPX,Gruppo articoli,WMS-Flex Packaging,4909-BS3-CLDORIGINI-1,4909-BS3-CLDORIGINI-1,,,,,No,Sì,OK
WMS0000568-FPX,WMS0000568-FPX,Gruppo articoli,WMS-Flex Packaging,4909-BS3-CLDPR,4909-BS3-CLDPR,,,,,No,Sì,OK
WMS0000569-FPX,WMS0000569-FPX,Gruppo articoli,WMS-Flex Packaging,4909-BS3-CLDTCN,4909-BS3-CLDTCN,,,,,No,Sì,OK
WMS0000570-FPX,WMS0000570-FPX,Gruppo articoli,WMS-Flex Packaging,4909-BS3-CPSC,4909-BS3-CPSC,,,,,No,Sì,OK
WMS0000571-FPX,WMS0000571-FPX,Gruppo articoli,WMS-Flex Packaging,4909-BS3-CPSCDRDC,4909-BS3-CPSCDRDC,,,,,No,Sì,OK
WMS0000572-FPX,WMS0000572-FPX,Gruppo articoli,WMS-Flex Packaging,4909-BS3-CPSTA,4909-BS3-CPSTA,,,,,No,Sì,OK
WMS0000573-FPX,WMS0000573-FPX,Gruppo articoli,WMS-Flex Packaging,4909-BS3-CPSTC,4909-BS3-CPSTC,,,,,No,Sì,OK
WMS0000574-FPX,WMS0000574-FPX,Gruppo articoli,WMS-Flex Packaging,4909-BS3-CPSTCDIMA,4909-BS3-CPSTCDIMA,,,,,No,Sì,OK
WMS0000575-FPX,WMS0000575-FPX,Gruppo articoli,WMS-Flex Packaging,4909-BS3-CPSTCL,4909-BS3-CPSTCL,,,,,No,Sì,OK
WMS0000576-FPX,WMS0000576-FPX,Gruppo articoli,WMS-Flex Packaging,4909-BS3-CPSTCLDIMA,4909-BS3-CPSTCLDIMA,,,,,No,Sì,OK
WMS0000577-FPX,WMS0000577-FPX,Gruppo articoli,WMS-Flex Packaging,4909-BS3-CPSTD,4909-BS3-CPSTD,,,,,No,Sì,OK
WMS0000578-FPX,WMS0000578-FPX,Gruppo articoli,WMS-Flex Packaging,4909-BS3-CPSTFC,4909-BS3-CPSTFC,,,,,No,Sì,OK
WMS0000579-FPX,WMS0000579-FPX,Gruppo articoli,WMS-Flex Packaging,4909-BS3-CPSTG,4909-BS3-CPSTG,,,,,No,Sì,OK
WMS0000580-FPX,WMS0000580-FPX,Gruppo articoli,WMS-Flex Packaging,4909-BS3-CPSTGDIMA,4909-BS3-CPSTGDIMA,,,,,No,Sì,OK
WMS0000581-FPX,WMS0000581-FPX,Gruppo articoli,WMS-Flex Packaging,4909-BS3-TOPCDGF260,4909-BS3-TOPCDGF260,,,,,No,Sì,OK
WMS0000582-FPX,WMS0000582-FPX,Gruppo articoli,WMS-Flex Packaging,4909-BS3-TOPTRLD,4909-BS3-TOPTRLD,,,,,No,Sì,OK
WMS0000583-FPX,WMS0000583-FPX,Gruppo articoli,WMS-Flex Packaging,4928-BS3-CLDCONDNR,4928-BS3-CLDCONDNR,,,,,No,Sì,OK
WMS0000584-FPX,WMS0000584-FPX,Gruppo articoli,WMS-Flex Packaging,4928-BS3-CLDCONDNR-1,4928-BS3-CLDCONDNR-1,,,,,No,Sì,OK
WMS0000585-FPX,WMS0000585-FPX,Gruppo articoli,WMS-Flex Packaging,4928-BS3-CLDSICILY170,4928-BS3-CLDSICILY170,,,,,No,Sì,OK
WMS0000586-FPX,WMS0000586-FPX,Gruppo articoli,WMS-Flex Packaging,4928-BS3-CPCNDNRM,4928-BS3-CPCNDNRM,,,,,No,Sì,OK
WMS0000587-FPX,WMS0000587-FPX,Gruppo articoli,WMS-Flex Packaging,4928-BS3-CPCNDRSM,4928-BS3-CPCNDRSM,,,,,No,Sì,OK
WMS0000588-FPX,WMS0000588-FPX,Gruppo articoli,WMS-Flex Packaging,4928-BS3-NNMBNCCPS,4928-BS3-NNMBNCCPS,,,,,No,Sì,OK
WMS0000589-FPX,WMS0000589-FPX,Gruppo articoli,WMS-Flex Packaging,4928-BS3-NNMOROCPS,4928-BS3-NNMOROCPS,,,,,No,Sì,OK
WMS0000590-FPX,WMS0000590-FPX,Gruppo articoli,WMS-Flex Packaging,4939-BS3-1KGBIOSELITE,4939-BS3-1KGBIOSELITE,,,,,No,Sì,OK
WMS0000591-FPX,WMS0000591-FPX,Gruppo articoli,WMS-Flex Packaging,4939-BS3-1KGBIOSGBAR,4939-BS3-1KGBIOSGBAR,,,,,No,Sì,OK
WMS0000592-FPX,WMS0000592-FPX,Gruppo articoli,WMS-Flex Packaging,4939-BS3-1KGBIOSROSSA,4939-BS3-1KGBIOSROSSA,,,,,No,Sì,OK
WMS0000593-FPX,WMS0000593-FPX,Gruppo articoli,WMS-Flex Packaging,4939-BS3-1KGGOLDENBL1,4939-BS3-1KGGOLDENBL1,,,,,No,Sì,OK
WMS0000594-FPX,WMS0000594-FPX,Gruppo articoli,WMS-Flex Packaging,4939-BS3-1KGGOLDENBRW,4939-BS3-1KGGOLDENBRW,,,,,No,Sì,OK
WMS0000595-FPX,WMS0000595-FPX,Gruppo articoli,WMS-Flex Packaging,4939-BS3-1KGGOLDENEXC,4939-BS3-1KGGOLDENEXC,,,,,No,Sì,OK
WMS0000596-FPX,WMS0000596-FPX,Gruppo articoli,WMS-Flex Packaging,4939-BS3-CLDNNMORO1,4939-BS3-CLDNNMORO1,,,,,No,Sì,OK
WMS0000597-FPX,WMS0000597-FPX,Gruppo articoli,WMS-Flex Packaging,4939-BS3-CLDNNMROSSO1,4939-BS3-CLDNNMROSSO1,,,,,No,Sì,OK
WMS0000598-FPX,WMS0000598-FPX,Gruppo articoli,WMS-Flex Packaging,4956-BS2-250GMOZCIUF,4956-BS2-250GMOZCIUF,,,,,No,Sì,OK
WMS0000599-FPX,WMS0000599-FPX,Gruppo articoli,WMS-Flex Packaging,5024-BS3-DCFCR,5024-BS3-DCFCR,,,,,No,Sì,OK
WMS0000600-FPX,WMS0000600-FPX,Gruppo articoli,WMS-Flex Packaging,5024-BS3-DCFFNT,5024-BS3-DCFFNT,,,,,No,Sì,OK
WMS0000601-FPX,WMS0000601-FPX,Gruppo articoli,WMS-Flex Packaging,5024-BS3-NSPCLDB,5024-BS3-NSPCLDB,,,,,No,Sì,OK
WMS0000602-FPX,WMS0000602-FPX,Gruppo articoli,WMS-Flex Packaging,5024-BS3-NSPCLDBRM,5024-BS3-NSPCLDBRM,,,,,No,Sì,OK
WMS0000603-FPX,WMS0000603-FPX,Gruppo articoli,WMS-Flex Packaging,5024-BS3-NSPCLDN,5024-BS3-NSPCLDN,,,,,No,Sì,OK
WMS0000604-FPX,WMS0000604-FPX,Gruppo articoli,WMS-Flex Packaging,5024-BS3-NSPCLDNTR,5024-BS3-NSPCLDNTR,,,,,No,Sì,OK
WMS0000605-FPX,WMS0000605-FPX,Gruppo articoli,WMS-Flex Packaging,5024-BS3-NSPCLDR,5024-BS3-NSPCLDR,,,,,No,Sì,OK
WMS0000606-FPX,WMS0000606-FPX,Gruppo articoli,WMS-Flex Packaging,5024-BS3-NSPCLDRS,5024-BS3-NSPCLDRS,,,,,No,Sì,OK
WMS0000607-FPX,WMS0000607-FPX,Gruppo articoli,WMS-Flex Packaging,5024-BS3-NSPCLDVRM,5024-BS3-NSPCLDVRM,,,,,No,Sì,OK
WMS0000608-FPX,WMS0000608-FPX,Gruppo articoli,WMS-Flex Packaging,5024-BS3-NSPCLDZZM,5024-BS3-NSPCLDZZM,,,,,No,Sì,OK
WMS0000609-FPX,WMS0000609-FPX,Gruppo articoli,WMS-Flex Packaging,5056-BS3-CLDCLASSICA1,5056-BS3-CLDCLASSICA1,,,,,No,Sì,OK
WMS0000610-FPX,WMS0000610-FPX,Gruppo articoli,WMS-Flex Packaging,5174-BS3-CLDCLASSIC,5174-BS3-CLDCLASSIC,,,,,No,Sì,OK
WMS0000611-FPX,WMS0000611-FPX,Gruppo articoli,WMS-Flex Packaging,5174-BS3-CLDELTARAB,5174-BS3-CLDELTARAB,,,,,No,Sì,OK
WMS0000612-FPX,WMS0000612-FPX,Gruppo articoli,WMS-Flex Packaging,5174-BS3-CLDELTDARK,5174-BS3-CLDELTDARK,,,,,No,Sì,OK
WMS0000613-FPX,WMS0000613-FPX,Gruppo articoli,WMS-Flex Packaging,5174-BS3-CLDELTLIFE,5174-BS3-CLDELTLIFE,,,,,No,Sì,OK
WMS0000614-FPX,WMS0000614-FPX,Gruppo articoli,WMS-Flex Packaging,5174-BS3-CLDSTRONG,5174-BS3-CLDSTRONG,,,,,No,Sì,OK
WMS0000615-FPX,WMS0000615-FPX,Gruppo articoli,WMS-Flex Packaging,5177-BS3-1KGF430LAV,5177-BS3-1KGF430LAV,,,,,No,Sì,OK
WMS0000616-FPX,WMS0000616-FPX,Gruppo articoli,WMS-Flex Packaging,5177-BS3-CLDOROCRIMA,5177-BS3-CLDOROCRIMA,,,,,No,Sì,OK
WMS0000617-FPX,WMS0000617-FPX,Gruppo articoli,WMS-Flex Packaging,5177-BS3-CLDSIAGNERO,5177-BS3-CLDSIAGNERO,,,,,No,Sì,OK
WMS0000618-FPX,WMS0000618-FPX,Gruppo articoli,WMS-Flex Packaging,5177-BS3-CLDSIAGORO,5177-BS3-CLDSIAGORO,,,,,No,Sì,OK
WMS0000619-FPX,WMS0000619-FPX,Gruppo articoli,WMS-Flex Packaging,5216-BS3-NNMFBIAN400.,5216-BS3-NNMFBIAN400.,,,,,No,Sì,OK
WMS0000620-FPX,WMS0000620-FPX,Gruppo articoli,WMS-Flex Packaging,5232-BS3-CLDRCRM,5232-BS3-CLDRCRM,,,,,No,Sì,OK
WMS0000621-FPX,WMS0000621-FPX,Gruppo articoli,WMS-Flex Packaging,5333-BS3-CLDPERACBAR,5333-BS3-CLDPERACBAR,,,,,No,Sì,OK
WMS0000622-FPX,WMS0000622-FPX,Gruppo articoli,WMS-Flex Packaging,5426-BS3-CLDNNMAR,5426-BS3-CLDNNMAR,,,,,No,Sì,OK
WMS0000623-FPX,WMS0000623-FPX,Gruppo articoli,WMS-Flex Packaging,5426-BS3-CLDNNMOR,5426-BS3-CLDNNMOR,,,,,No,Sì,OK
WMS0000624-FPX,WMS0000624-FPX,Gruppo articoli,WMS-Flex Packaging,5431-BS3-CPSAGOBESAT1,5431-BS3-CPSAGOBESAT1,,,,,No,Sì,OK
WMS0000625-FPX,WMS0000625-FPX,Gruppo articoli,WMS-Flex Packaging,5431-BS3-CPSAGOBESNA1,5431-BS3-CPSAGOBESNA1,,,,,No,Sì,OK
WMS0000626-FPX,WMS0000626-FPX,Gruppo articoli,WMS-Flex Packaging,5431-BS3-CPSAGOBESTR1,5431-BS3-CPSAGOBESTR1,,,,,No,Sì,OK
WMS0000627-FPX,WMS0000627-FPX,Gruppo articoli,WMS-Flex Packaging,5431-BS3-CPSAGOPOICL1,5431-BS3-CPSAGOPOICL1,,,,,No,Sì,OK
WMS0000628-FPX,WMS0000628-FPX,Gruppo articoli,WMS-Flex Packaging,5431-BS3-CPSAGOPOICL2,5431-BS3-CPSAGOPOICL2,,,,,No,Sì,OK
WMS0000629-FPX,WMS0000629-FPX,Gruppo articoli,WMS-Flex Packaging,5431-BS3-CPSAGOSMACA1,5431-BS3-CPSAGOSMACA1,,,,,No,Sì,OK
WMS0000630-FPX,WMS0000630-FPX,Gruppo articoli,WMS-Flex Packaging,5431-BS3-CPSAGOSMACA2,5431-BS3-CPSAGOSMACA2,,,,,No,Sì,OK
WMS0000631-FPX,WMS0000631-FPX,Gruppo articoli,WMS-Flex Packaging,5431-BS3-CPSAGOSMADE2,5431-BS3-CPSAGOSMADE2,,,,,No,Sì,OK
WMS0000632-FPX,WMS0000632-FPX,Gruppo articoli,WMS-Flex Packaging,5431-BS3-CPSAGOSMADEC,5431-BS3-CPSAGOSMADEC,,,,,No,Sì,OK
WMS0000633-FPX,WMS0000633-FPX,Gruppo articoli,WMS-Flex Packaging,5431-BS3-CPSAGOSMADO1,5431-BS3-CPSAGOSMADO1,,,,,No,Sì,OK
WMS0000634-FPX,WMS0000634-FPX,Gruppo articoli,WMS-Flex Packaging,5431-BS3-CPSAGOSMADO2,5431-BS3-CPSAGOSMADO2,,,,,No,Sì,OK
WMS0000635-FPX,WMS0000635-FPX,Gruppo articoli,WMS-Flex Packaging,5431-BS3-CPSAGOSMAGE1,5431-BS3-CPSAGOSMAGE1,,,,,No,Sì,OK
WMS0000636-FPX,WMS0000636-FPX,Gruppo articoli,WMS-Flex Packaging,5431-BS3-CPSAGOSMAGE2,5431-BS3-CPSAGOSMAGE2,,,,,No,Sì,OK
WMS0000637-FPX,WMS0000637-FPX,Gruppo articoli,WMS-Flex Packaging,5431-BS3-CPSAGOSMALE1,5431-BS3-CPSAGOSMALE1,,,,,No,Sì,OK
WMS0000638-FPX,WMS0000638-FPX,Gruppo articoli,WMS-Flex Packaging,5431-BS3-CPSAGOSMALE2,5431-BS3-CPSAGOSMALE2,,,,,No,Sì,OK
WMS0000639-FPX,WMS0000639-FPX,Gruppo articoli,WMS-Flex Packaging,5431-BS3-CPSAGOSMAMIC,5431-BS3-CPSAGOSMAMIC,,,,,No,Sì,OK
WMS0000640-FPX,WMS0000640-FPX,Gruppo articoli,WMS-Flex Packaging,5431-BS3-CPSAGOSMARA1,5431-BS3-CPSAGOSMARA1,,,,,No,Sì,OK
WMS0000641-FPX,WMS0000641-FPX,Gruppo articoli,WMS-Flex Packaging,5431-BS3-CPSAGOSMARA2,5431-BS3-CPSAGOSMARA2,,,,,No,Sì,OK
WMS0000642-FPX,WMS0000642-FPX,Gruppo articoli,WMS-Flex Packaging,5470-BS3-CPSPSARGENT,5470-BS3-CPSPSARGENT,,,,,No,Sì,OK
WMS0000643-FPX,WMS0000643-FPX,Gruppo articoli,WMS-Flex Packaging,5474-BS2-SPZ502,5474-BS2-SPZ502,,,,,No,Sì,OK
WMS0000644-FPX,WMS0000644-FPX,Gruppo articoli,WMS-Flex Packaging,5476-BS3-CLDNT,5476-BS3-CLDNT,,,,,No,Sì,OK
WMS0000645-FPX,WMS0000645-FPX,Gruppo articoli,WMS-Flex Packaging,5476-BS3-CPBI,5476-BS3-CPBI,,,,,No,Sì,OK
WMS0000646-FPX,WMS0000646-FPX,Gruppo articoli,WMS-Flex Packaging,5500-SSS-1KGTINTORINR,5500-SSS-1KGTINTORINR,,,,,No,Sì,OK
WMS0000647-FPX,WMS0000647-FPX,Gruppo articoli,WMS-Flex Packaging,5500-SSS-1KGTINTORIOR,5500-SSS-1KGTINTORIOR,,,,,No,Sì,OK
WMS0000648-FPX,WMS0000648-FPX,Gruppo articoli,WMS-Flex Packaging,5511-BS3-250GDARK1,5511-BS3-250GDARK1,,,,,No,Sì,OK
WMS0000649-FPX,WMS0000649-FPX,Gruppo articoli,WMS-Flex Packaging,5511-BS3-250GPIPO,5511-BS3-250GPIPO,,,,,No,Sì,OK
WMS0000650-FPX,WMS0000650-FPX,Gruppo articoli,WMS-Flex Packaging,5557-SSS-1KGNB,5557-SSS-1KGNB,,,,,No,Sì,OK
WMS0000651-FPX,WMS0000651-FPX,Gruppo articoli,WMS-Flex Packaging,5567-BS2-100GGIOIELLA,5567-BS2-100GGIOIELLA,,,,,No,Sì,OK
WMS0000652-FPX,WMS0000652-FPX,Gruppo articoli,WMS-Flex Packaging,5567-BS2-GIOIELLAMUL1,5567-BS2-GIOIELLAMUL1,,,,,No,Sì,OK
WMS0000653-FPX,WMS0000653-FPX,Gruppo articoli,WMS-Flex Packaging,5594-BS3-CLDDCMTT,5594-BS3-CLDDCMTT,,,,,No,Sì,OK
WMS0000654-FPX,WMS0000654-FPX,Gruppo articoli,WMS-Flex Packaging,5594-BS3-CLDSMR,5594-BS3-CLDSMR,,,,,No,Sì,OK
WMS0000655-FPX,WMS0000655-FPX,Gruppo articoli,WMS-Flex Packaging,5594-BS3-CLDSMS,5594-BS3-CLDSMS,,,,,No,Sì,OK
WMS0000656-FPX,WMS0000656-FPX,Gruppo articoli,WMS-Flex Packaging,5709-BS3-CLDCAFFEOIMA,5709-BS3-CLDCAFFEOIMA,,,,,No,Sì,OK
WMS0000657-FPX,WMS0000657-FPX,Gruppo articoli,WMS-Flex Packaging,2950-BS3-CLDS,2950-BS3-CLDS,,,,,No,Sì,OK
WMS0000658-FPX,WMS0000658-FPX,Gruppo articoli,WMS-Flex Packaging,0404-BS2-DCLSG,0404-BS2-DCLSG,,,,,No,Sì,OK
WMS0000659-FPX,WMS0000659-FPX,Gruppo articoli,WMS-Flex Packaging,4939-BS3-1KGGOLDENRE1,4939-BS3-1KGGOLDENRE1,,,,,No,Sì,OK
WMS0000660-FPX,WMS0000660-FPX,Gruppo articoli,WMS-Flex Packaging,1891-BS3-CPSSRS,1891-BS3-CPSSRS,,,,,No,Sì,OK
WMS0000661-FPX,WMS0000661-FPX,Gruppo articoli,WMS-Flex Packaging,1891-BS3-CPSSRLB,1891-BS3-CPSSRLB,,,,,No,Sì,OK
WMS0000662-FPX,WMS0000662-FPX,Gruppo articoli,WMS-Flex Packaging,4909-BS3-TDG20CPC,4909-BS3-TDG20CPC,,,,,No,Sì,OK
WMS0000663-FPX,WMS0000663-FPX,Gruppo articoli,WMS-Flex Packaging,4909-BS3-TDG20CPCR,4909-BS3-TDG20CPCR,,,,,No,Sì,OK
WMS0000664-FPX,WMS0000664-FPX,Gruppo articoli,WMS-Flex Packaging,4909-BS3-CPSDGTCL,4909-BS3-CPSDGTCL,,,,,No,Sì,OK
WMS0000665-FPX,WMS0000665-FPX,Gruppo articoli,WMS-Flex Packaging,4909-BS3-CPSDGTCR,4909-BS3-CPSDGTCR,,,,,No,Sì,OK
WMS0000666-FPX,WMS0000666-FPX,Gruppo articoli,WMS-Flex Packaging,2805-BS3-NNMNLTFS-R,2805-BS3-NNMNLTFS-R,,,,,No,Sì,OK
WMS0000667-FPX,WMS0000667-FPX,Gruppo articoli,WMS-Flex Packaging,4909-BS3-CPSTDDIMA,4909-BS3-CPSTDDIMA,,,,,No,Sì,OK
WMS0000668-FPX,WMS0000668-FPX,Gruppo articoli,WMS-Flex Packaging,4909-BS3-CLDAS,4909-BS3-CLDAS,,,,,No,Sì,OK
WMS0000669-FPX,WMS0000669-FPX,Gruppo articoli,WMS-Flex Packaging,4909-BS3-CPSDGAS,4909-BS3-CPSDGAS,,,,,No,Sì,OK
WMS0000670-FPX,WMS0000670-FPX,Gruppo articoli,WMS-Flex Packaging,4909-BS3-CPSAS,4909-BS3-CPSAS,,,,,No,Sì,OK
WMS0000671-FPX,WMS0000671-FPX,Gruppo articoli,WMS-Flex Packaging,3000-BS3-CPSNDVRL,3000-BS3-CPSNDVRL,,,,,No,Sì,OK
WMS0000672-FPX,WMS0000672-FPX,Gruppo articoli,WMS-Flex Packaging,3000-BS3-CPSNDIL,3000-BS3-CPSNDIL,,,,,No,Sì,OK
WMS0000673-FPX,WMS0000673-FPX,Gruppo articoli,WMS-Flex Packaging,3000-BS3-CPSNDGA,3000-BS3-CPSNDGA,,,,,No,Sì,OK
WMS0000674-FPX,WMS0000674-FPX,Gruppo articoli,WMS-Flex Packaging,4909-BS3-CPSFRTCRM,4909-BS3-CPSFRTCRM,,,,,No,Sì,OK
WMS0000675-FPX,WMS0000675-FPX,Gruppo articoli,WMS-Flex Packaging,1470-BS2-250GCIUFFO2,1470-BS2-250GCIUFFO2,,,,,No,Sì,OK
WMS0000676-FPX,WMS0000676-FPX,Gruppo articoli,WMS-Flex Packaging,2805-BS3-NNMNTTFS-R,2805-BS3-NNMNTTFS-R,,,,,No,Sì,OK
WMS0000677-FPX,WMS0000677-FPX,Gruppo articoli,WMS-Flex Packaging,4697-SSS-1KGACMDMICR,4697-SSS-1KGACMDMICR,,,,,No,Sì,OK
WMS0000678-FPX,WMS0000678-FPX,Gruppo articoli,WMS-Flex Packaging,4928-BS3-CLDCOND956,4928-BS3-CLDCOND956,,,,,No,Sì,OK
WMS0000679-FPX,WMS0000679-FPX,Gruppo articoli,WMS-Flex Packaging,3070-BS3-CPSMNRAONS,3070-BS3-CPSMNRAONS,,,,,No,Sì,OK
WMS0000680-FPX,WMS0000680-FPX,Gruppo articoli,WMS-Flex Packaging,4909-BS3-CPSTO,4909-BS3-CPSTO,,,,,No,Sì,OK
WMS0000681-FPX,WMS0000681-FPX,Gruppo articoli,WMS-Flex Packaging,2805-BS3-CLDPBS7C-R,2805-BS3-CLDPBS7C-R,,,,,No,Sì,OK
WMS0000682-FPX,WMS0000682-FPX,Gruppo articoli,WMS-Flex Packaging,3927-SSD-AMONATKALAM1,3927-SSD-AMONATKALAM1,,,,,No,Sì,OK
